trace_type,algorithm,frames,accesses,faults,fault_rate,hit_rate,time_ms
Financial1,LRU,16,5000000,2014082,0.402816,0.597184,185.44
Financial1,LFU,16,5000000,3872286,0.774457,0.225543,101.31
Financial1,ARC,16,5000000,1938512,0.387702,0.612298,155.88
Financial1,TempoGraph,16,5000000,2923349,0.584670,0.415330,129308.28
Financial1,SIEVE,16,5000000,1996161,0.399232,0.600768,83.67
Financial1,LRU,32,5000000,818220,0.163644,0.836356,111.16
Financial1,LFU,32,5000000,3425679,0.685136,0.314864,146.93
Financial1,ARC,32,5000000,805289,0.161058,0.838942,97.87
Financial1,TempoGraph,32,5000000,1979357,0.395871,0.604129,143160.92
Financial1,SIEVE,32,5000000,808915,0.161783,0.838217,100.09
Financial1,LRU,64,5000000,141295,0.028259,0.971741,64.34
Financial1,LFU,64,5000000,2312973,0.462595,0.537405,208.22
Financial1,ARC,64,5000000,139215,0.027843,0.972157,63.49
Financial1,TempoGraph,64,5000000,857252,0.171450,0.828550,146837.45
Financial1,SIEVE,64,5000000,140564,0.028113,0.971887,121.53
Financial1,LRU,128,5000000,13477,0.002695,0.997305,54.14
Financial1,LFU,128,5000000,1178246,0.235649,0.764351,301.25
Financial1,ARC,128,5000000,13493,0.002699,0.997301,59.89
Financial1,TempoGraph,128,5000000,79185,0.015837,0.984163,143045.84
Financial1,SIEVE,128,5000000,13755,0.002751,0.997249,151.09
Financial1,LRU,256,5000000,282,0.000056,0.999944,52.83
Financial1,LFU,256,5000000,276,0.000055,0.999945,207.47
Financial1,ARC,256,5000000,279,0.000056,0.999944,60.83
Financial1,TempoGraph,256,5000000,499,0.000100,0.999900,135283.28
Financial1,SIEVE,256,5000000,286,0.000057,0.999943,193.45
correlated,LRU,16,100000,52078,0.520780,0.479220,4.90
correlated,LFU,16,100000,89413,0.894130,0.105870,3.81
correlated,ARC,16,100000,52272,0.522720,0.477280,5.61
correlated,TempoGraph,16,100000,89583,0.895830,0.104170,2682.35
correlated,SIEVE,16,100000,52228,0.522280,0.477720,1.67
correlated,LRU,32,100000,51238,0.512380,0.487620,4.62
correlated,LFU,32,100000,87879,0.878790,0.121210,3.24
correlated,ARC,32,100000,51314,0.513140,0.486860,4.93
correlated,TempoGraph,32,100000,87569,0.875690,0.124310,2660.39
correlated,SIEVE,32,100000,51209,0.512090,0.487910,2.17
correlated,LRU,64,100000,49508,0.495080,0.504920,4.49
correlated,LFU,64,100000,84721,0.847210,0.152790,7.57
correlated,ARC,64,100000,49655,0.496550,0.503450,5.80
correlated,TempoGraph,64,100000,84301,0.843010,0.156990,2606.75
correlated,SIEVE,64,100000,49597,0.495970,0.504030,3.12
correlated,LRU,128,100000,46170,0.461700,0.538300,5.01
correlated,LFU,128,100000,78196,0.781960,0.218040,10.46
correlated,ARC,128,100000,46216,0.462160,0.537840,4.43
correlated,TempoGraph,128,100000,78223,0.782230,0.217770,2609.99
correlated,SIEVE,128,100000,46144,0.461440,0.538560,3.70
correlated,LRU,256,100000,39407,0.394070,0.605930,4.15
correlated,LFU,256,100000,65449,0.654490,0.345510,15.74
correlated,ARC,256,100000,39233,0.392330,0.607670,3.41
correlated,TempoGraph,256,100000,64532,0.645320,0.354680,2696.59
correlated,SIEVE,256,100000,39430,0.394300,0.605700,6.18
